               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12526,            0.024778,            0.083492,           0.0078902,            0.076253,           0.0054874,           0.0021769,             0.13112,            0.016164,            0.082974,              0.0928,              0.0008,              0.0008
                   1,             0.12605,            0.022004,            0.084188,             0.01236,             0.18845,            0.011234,           0.0035074,             0.10772,             0.01618,            0.073836,            0.084666,           0.0016663,           0.0016663
                   2,             0.11689,            0.023391,            0.076977,            0.014926,              0.2658,            0.015529,           0.0067651,             0.10027,            0.015778,            0.066668,            0.076497,            0.002497,            0.002497
                   3,             0.10473,            0.031944,            0.073224,           0.0099715,             0.24619,            0.015008,           0.0060232,            0.093574,             0.01683,            0.059493,            0.068292,           0.0032921,           0.0032921
                   4,             0.10428,            0.029939,            0.068232,            0.025885,            0.056645,            0.021256,            0.010122,            0.094698,            0.017027,            0.064468,            0.060052,           0.0040515,           0.0040515
                   5,             0.10122,            0.033318,            0.061222,             0.29596,             0.12517,             0.11627,            0.051024,            0.094251,            0.015856,            0.063635,            0.051775,           0.0047753,           0.0047753
                   6,            0.091523,            0.036333,            0.058667,             0.16301,             0.21242,             0.14586,            0.063515,            0.091986,            0.015153,            0.055656,            0.043463,           0.0054634,           0.0054634
                   7,            0.089428,            0.034544,            0.057025,             0.19916,             0.33007,             0.27363,             0.13912,            0.088362,             0.01411,            0.044933,            0.035116,           0.0061159,           0.0061159
                   8,             0.08326,            0.034033,            0.050723,             0.20176,             0.40196,             0.25437,             0.11511,            0.083359,            0.013117,             0.04021,            0.026733,           0.0067328,           0.0067328
                   9,            0.080297,            0.037857,            0.045388,             0.20259,             0.45969,             0.27491,             0.13517,            0.079814,            0.012742,             0.04093,            0.018314,            0.007314,            0.007314
                  10,            0.081081,             0.03736,            0.046607,             0.15276,             0.44112,             0.23424,             0.10886,            0.083674,            0.011579,            0.041713,           0.0098596,           0.0078596,           0.0078596
                  11,            0.074239,            0.026313,            0.041406,             0.11526,             0.38017,             0.14093,            0.056923,            0.084205,             0.01103,            0.036975,            0.007822,            0.007822,            0.007822
                  12,            0.080561,            0.035522,            0.038158,             0.14787,             0.36383,             0.21251,             0.10158,            0.075953,            0.010344,            0.040802,            0.007822,            0.007822,            0.007822
                  13,            0.080795,            0.038509,            0.035982,             0.15205,             0.24728,             0.16365,            0.079394,               0.082,           0.0094375,            0.040993,            0.007624,            0.007624,            0.007624
                  14,            0.079352,            0.037676,            0.035993,             0.17752,             0.45856,              0.2265,             0.12957,            0.074878,            0.010232,            0.040175,            0.007426,            0.007426,            0.007426
                  15,            0.073419,            0.037661,            0.033862,             0.28539,             0.20847,             0.25765,             0.17594,            0.074209,           0.0096456,             0.03779,            0.007228,            0.007228,            0.007228
                  16,            0.070629,            0.032841,            0.033017,               0.234,             0.58715,             0.30837,             0.18559,             0.07556,           0.0093492,            0.038354,             0.00703,             0.00703,             0.00703
                  17,            0.069488,            0.039848,            0.031239,             0.26857,             0.51307,             0.35345,             0.22304,            0.071072,           0.0096692,            0.038143,            0.006832,            0.006832,            0.006832
                  18,            0.068135,            0.031736,            0.034716,             0.22205,             0.56972,             0.34627,             0.23732,            0.067908,           0.0096444,            0.035246,            0.006634,            0.006634,            0.006634
                  19,            0.069621,            0.038573,            0.030044,             0.27318,             0.58715,             0.40812,             0.25542,            0.066242,           0.0096407,            0.034524,            0.006436,            0.006436,            0.006436
                  20,             0.06853,            0.035466,            0.027046,             0.30947,             0.58804,              0.4371,              0.2588,            0.066775,           0.0096308,            0.032467,            0.006238,            0.006238,            0.006238
                  21,            0.067001,            0.033708,            0.027159,             0.24196,             0.56972,             0.42361,             0.28069,            0.068403,           0.0095509,            0.029682,             0.00604,             0.00604,             0.00604
                  22,            0.066302,             0.03556,            0.025482,             0.41213,               0.683,             0.55056,              0.3606,            0.061375,           0.0096295,            0.025691,            0.005842,            0.005842,            0.005842
                  23,            0.063983,            0.038471,             0.02442,             0.44504,             0.72004,             0.55172,             0.36995,            0.057881,           0.0099235,            0.021608,            0.005644,            0.005644,            0.005644
                  24,            0.054361,            0.030838,              0.0266,             0.49797,             0.64488,             0.62269,             0.44598,            0.051662,           0.0098296,            0.020442,            0.005446,            0.005446,            0.005446
                  25,            0.057547,            0.032285,            0.023437,              0.4936,             0.70044,             0.63306,             0.43855,            0.050513,           0.0099222,            0.020491,            0.005248,            0.005248,            0.005248
                  26,            0.055334,            0.027887,            0.024552,             0.35036,             0.68519,             0.42353,             0.28678,            0.053297,           0.0097147,            0.017505,             0.00505,             0.00505,             0.00505
                  27,            0.061722,            0.034857,            0.020627,             0.43942,             0.64815,             0.52417,             0.35791,            0.049195,           0.0094834,            0.016984,            0.004852,            0.004852,            0.004852
                  28,             0.06114,            0.034918,            0.020929,             0.51129,             0.66984,             0.58902,             0.39272,            0.046553,           0.0092379,            0.016804,            0.004654,            0.004654,            0.004654
                  29,            0.057416,            0.036095,            0.018918,             0.49451,             0.66558,             0.58816,             0.42738,            0.049485,           0.0092349,            0.016915,            0.004456,            0.004456,            0.004456
                  30,            0.058854,            0.032181,            0.019185,             0.63933,             0.72055,             0.65477,             0.45077,            0.044305,           0.0094853,            0.015914,            0.004258,            0.004258,            0.004258
                  31,            0.053447,            0.036202,            0.021626,             0.65792,             0.72222,             0.71052,             0.48705,            0.044323,           0.0099281,            0.015404,             0.00406,             0.00406,             0.00406
                  32,            0.050188,             0.03162,            0.018809,             0.70049,             0.64052,             0.71396,              0.4837,            0.043408,           0.0097325,            0.015083,            0.003862,            0.003862,            0.003862
                  33,             0.05267,            0.033492,            0.018716,             0.68673,             0.62527,             0.71283,             0.50279,            0.043489,            0.009827,            0.014867,            0.003664,            0.003664,            0.003664
                  34,            0.055402,            0.029943,            0.018565,             0.58581,             0.64416,              0.6953,             0.45409,            0.047082,           0.0094878,             0.01387,            0.003466,            0.003466,            0.003466
                  35,            0.048522,            0.025116,            0.022753,             0.72827,             0.76254,              0.7659,             0.56373,            0.044224,           0.0094675,            0.013289,            0.003268,            0.003268,            0.003268
                  36,            0.053734,             0.03006,            0.020582,             0.75644,             0.77669,             0.80812,             0.51123,            0.043604,           0.0088455,            0.013187,             0.00307,             0.00307,             0.00307
                  37,            0.052153,            0.030373,            0.019853,             0.77076,             0.77043,             0.80902,             0.59315,            0.040121,           0.0085719,            0.013286,            0.002872,            0.002872,            0.002872
                  38,            0.050425,            0.032149,            0.016516,             0.85968,             0.79248,             0.82914,             0.55006,            0.042032,           0.0083618,            0.013617,            0.002674,            0.002674,            0.002674
